Date,Close,Volatility,MA_25,MA_100,Decline_Since_Last_Peak,Days_Since_Last_Peak,One_Week_Growth,RSI,Price_to_MA25,Price_to_MA100,Target
2023-11-01,428.4130554199219,0.011482963877332955,428.4130554199219,428.4130554199219,-0.28334399943803856,0,,50.0,1.0,1.0,0
2023-11-02,433.7732238769531,0.016572382075880427,431.0931396484375,431.0931396484375,-0.27437742654732883,0,,50.0,1.0062169493829136,1.0062169493829136,0
2023-11-03,429.32220458984375,0.014567917857682237,430.50282796223956,430.50282796223956,-0.28182316061254614,1,,50.0,0.9972575711570021,0.9972575711570021,0
2023-11-06,427.2577209472656,0.00923397617463059,429.6915512084961,429.6915512084961,-0.2852766608544224,4,,50.0,0.9943358666131894,0.9943358666131894,0
2023-11-07,426.3011779785156,0.007657342202888797,429.0134765625,429.0134765625,-0.28687678076131484,5,,50.0,0.993677824282545,0.993677824282545,0
2023-11-08,421.10211181640625,0.017194247116117653,427.6949157714844,427.6949157714844,-0.29557385923559765,6,-0.01706517462767232,50.0,0.9845852646081006,0.9845852646081006,0
2023-11-09,419.01861572265625,0.013313559702354219,426.4554443359375,426.4554443359375,-0.2990591638005339,7,-0.0340145664649929,50.0,0.9825612998683564,0.9825612998683564,0
2023-11-10,421.30096435546875,0.01094566618921016,425.8111343383789,425.8111343383789,-0.2952412156255507,8,-0.01868349726294305,50.0,0.9894080506139934,0.9894080506139934,0
2023-11-13,421.4525146484375,0.011865165796172658,425.32684326171875,425.32684326171875,-0.2949876999460705,11,-0.013587130235955702,50.0,0.9908909379347656,0.9908909379347656,0
2023-11-14,420.68536376953125,0.010993285857258787,424.8626953125,424.8626953125,-0.2962710018290294,12,-0.013173349028998915,50.0,0.9901678081199946,0.9901678081199946,0
2023-11-15,421.55670166015625,0.01023746483961706,424.5621504350142,424.5621504350142,-0.2948134142977126,13,0.0010795240180323518,50.0,0.9929210628602232,0.9929210628602232,0
2023-11-16,421.9828186035156,0.009241870227863156,424.34720611572266,424.34720611572266,-0.29410059926900084,14,0.007074155585539366,50.0,0.9944281770254846,0.9944281770254846,0
