Date,Ticker,Action,Price,Shares,Value,Signal_Probability
2024-02-21 00:00:00,NVDA,BUY,67.43819427490234,44.440736132200314,2997.002997002997,0.9551222920417786
2024-03-25 00:00:00,NVDA,SELL,94.9588394165039,44.440736132200314,4220.040725928832,0.9040420651435852
2024-04-19 00:00:00,NVDA,BUY,76.16539001464844,39.826241797401394,3033.3812393167705,0.946021556854248
2024-06-24 00:00:00,NVDA,BUY,118.0660400390625,26.114814285039337,3083.2727089901355,0.9236882925033569
2024-07-10 00:00:00,NVDA,SELL,134.85980224609375,65.94105608244072,8892.797783176533,0.9874826669692993
2024-07-11 00:00:00,NVDA,BUY,127.35259246826172,24.467838063189475,3116.0426094407912,0.9408558011054993
2024-07-17 00:00:00,NVDA,BUY,117.94608306884766,26.359683678978424,3109.021440869337,0.9962670207023621
2024-07-19 00:00:00,NVDA,BUY,117.8861083984375,26.371274580631084,3108.8069338172354,0.9554938077926636
2024-07-25 00:00:00,NVDA,BUY,112.23819732666016,27.580775312500514,3095.6165019467094,0.9257155060768127
2024-07-30 00:00:00,NVDA,BUY,103.69139862060547,29.594110397384046,3068.654698037354,0.9881530404090881
2024-08-05 00:00:00,NVDA,BUY,100.41261291503906,30.427736124690398,3055.3284893694877,0.9807659387588501
2024-08-07 00:00:00,NVDA,BUY,98.8731918334961,30.823356003555585,3047.603591091695,0.9746425151824951
2024-08-19 00:00:00,NVDA,SELL,129.9516143798828,195.62477416092952,25421.755214912777,0.9720482230186462
2024-08-29 00:00:00,NVDA,BUY,117.54622650146484,27.469188865366377,3228.899496179872,0.9704123139381409
2024-09-06 00:00:00,NVDA,BUY,102.79171752929688,31.292658086935944,3216.626070813187,0.9827234745025635
2024-10-01 00:00:00,NVDA,BUY,116.9664535522461,27.712755640416738,3241.46274541955,0.9925858378410339
2024-10-15 00:00:00,NVDA,BUY,131.56228637695312,24.924793852481486,3279.16286670669,0.9351133108139038
2024-10-21 00:00:00,NVDA,SELL,143.66880798339844,111.39939644520055,16004.618497351996,0.9690781831741333
2024-10-31 00:00:00,NVDA,BUY,132.72195434570312,25.006747106360734,3318.944347784953,0.9748149514198303
2024-11-07 00:00:00,NVDA,SELL,148.83734130859375,25.006747106360734,3721.937754087102,0.9935084581375122
2024-11-25 00:00:00,NVDA,BUY,135.9810028076172,24.494238518407425,3330.7511167420053,0.9231926798820496
2024-11-27 00:00:00,NVDA,BUY,135.3011932373047,24.612660101756553,3330.1222805118628,0.9719951748847961
2024-12-05 00:00:00,NVDA,SELL,145.02841186523438,49.106898620163975,7121.89551850945,0.9762917160987854
2024-12-10 00:00:00,NVDA,BUY,135.04058837890625,24.763406495701027,3344.0649834454957,0.9335572123527527
2024-12-18 00:00:00,NVDA,BUY,128.88192749023438,25.910258674251274,3339.364079708069,0.9980251789093018
2024-12-31 00:00:00,NVDA,BUY,134.26075744628906,24.932101341969478,3347.402810900462,0.9560369849205017
2025-01-06 00:00:00,NVDA,SELL,149.39744567871094,75.60576651192179,11295.308395462138,0.972105085849762
2025-01-14 00:00:00,NVDA,BUY,131.73129272460938,25.66741954452812,3381.2023575055937,0.9614943265914917
2025-01-23 00:00:00,NVDA,SELL,147.1879425048828,25.66741954452812,3777.93467216871,0.9737308025360107
2025-01-27 00:00:00,NVDA,BUY,118.39420318603516,28.656959935138424,3392.8179372548475,0.9845011234283447
2025-02-03 00:00:00,NVDA,BUY,116.63459777832031,29.075206773567263,3391.175047356512,0.9540724158287048
2025-03-03 00:00:00,NVDA,BUY,114.03515625,29.697383780302133,3386.5457996029695,0.9788017272949219
2025-03-04 00:00:00,NVDA,BUY,115.96473693847656,29.245703818090906,3391.4703498455115,0.9600881338119507
2025-03-06 00:00:00,NVDA,BUY,110.5459213256836,30.506692553806634,3372.3904349599256,0.9671117067337036
2025-03-07 00:00:00,NVDA,BUY,112.66545867919922,30.0146008685826,3381.60877393195,0.9949630498886108
2025-03-10 00:00:00,NVDA,BUY,106.95669555664062,31.331938247605738,3351.160580348631,0.969112753868103
2025-03-11 00:00:00,NVDA,BUY,108.73631286621094,30.92023255619061,3362.1520811259434,0.976545512676239
2025-03-26 00:00:00,NVDA,BUY,113.74568939208984,29.873396349662773,3397.970062275532,0.9542778134346008
2025-03-31 00:00:00,NVDA,BUY,108.36636352539062,30.954425552408022,3354.4185321318882,0.9921034574508667
2025-04-03 00:00:00,NVDA,BUY,101.78719329833984,32.37224661539649,3295.0801237428905,0.9370917081832886
2025-04-04 00:00:00,NVDA,BUY,94.29813385009766,34.150084783945864,3220.2892659487106,0.9780705571174622
2025-04-07 00:00:00,NVDA,BUY,97.6277084350586,33.359020303531814,3256.764707872404,0.975897490978241
2025-04-08 00:00:00,NVDA,BUY,96.28788757324219,33.655001532908045,3240.5690038779435,0.9868277311325073
2025-06-25 00:00:00,NVDA,SELL,154.30130004882812,433.81289367113726,66937.89347140052,0.9659309387207031
